,date,frequency,avg_passenger_count,avg_trip_distance,avg_fare_amount,avg_tip_amount,avg_total_amount,sum_passenger_count,sum_trip_distance,sum_fare_amount,sum_tip_amount,sum_total_amount,date_of_interest,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,HOSP_COUNT_7DAY_AVG,DEATH_COUNT_7DAY_AVG,ALL_DEATH_COUNT_7DAY_AVG,policy,policy_coverage_area
0,2020-02-01,148313,1.484866464841248,2.059710814291417,9.838054047858247,2.320542838456412,15.528000512429605,220225.0,305481.8900000029,1459111.31,344166.66999998584,2303004.339999972,2020-02-01,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,2020-02-02,132571,1.4635101191059885,2.1333270473934864,9.611997193956444,2.267749356948267,15.258962065620583,194019.0,282817.3000000019,1274272.0799999998,300637.79999998875,2022895.8600013864,2020-02-02,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
2,2020-02-03,132445,1.3684623806108196,2.0532867982936605,9.95857442712069,2.3933135263693988,15.93212503304135,181246.0,271947.57000000385,1318963.3899999997,316982.409999995,2110130.3000011616,2020-02-03,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
3,2020-02-04,153960,1.372817614964926,2.01962860483242,10.179030397505848,2.4622503897115884,16.228978695761686,211359.0,310942.01999999944,1567163.5200000003,379088.06999999617,2498613.559999469,2020-02-04,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
4,2020-02-05,166709,1.3773881434115736,2.0090751549106276,10.162773935420402,2.4584531728940644,16.21559255948264,229623.0,334930.90999999584,1694225.88,409846.2699999966,2703285.2199987913,2020-02-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
5,2020-02-06,174219,1.374098117886109,1.979586382656352,10.276193009947251,2.4671391754056624,16.332781097345155,239394.0,344881.560000007,1790308.07,429822.5199999991,2845480.789998376,2020-02-06,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
6,2020-02-07,179894,1.3997353997353998,1.9540663946546264,10.199597207244265,2.4174233159526963,16.199443172079093,251804.0,351524.81999999937,1834846.3399999999,434879.94999999437,2914182.6299979966,2020-02-07,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
7,2020-02-08,153096,1.4883863719496264,2.064175876574184,10.094952513455608,2.357416000417938,15.825986701152399,227866.0,316017.0700000013,1545496.8499999999,360910.9599999846,2422895.2599996277,2020-02-08,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
8,2020-02-09,122616,1.4670189861029557,2.1490506948522325,9.870283649768382,2.322716366542602,15.571524841792266,179880.0,263508.00000000134,1210254.7,284802.18999998766,1909318.0900012006,2020-02-09,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
9,2020-02-10,146605,1.3719382012891783,1.9591358412059838,10.05518693086866,2.417408001091336,16.051092663959952,201133.0,287219.11000000325,1474140.68,354404.0999999953,2353170.439999849,2020-02-10,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
10,2020-02-11,157408,1.3692887273836145,1.9995056795080468,10.282315003049401,2.476434425188053,16.33671840058464,215537.0,314738.1900000026,1618518.6400000001,389810.5900000011,2571530.169999227,2020-02-11,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
11,2020-02-12,168750,1.376397037037037,2.0234957037037127,10.2243346962963,2.463195496296312,16.289226548139993,232267.0,341464.90000000154,1725356.4800000004,415664.2400000026,2748806.979998624,2020-02-12,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
12,2020-02-13,175398,1.379120628513438,1.9967775003135957,10.411454235510098,2.4796661877558286,16.471670942645652,241895.0,350230.78000000404,1826148.2500000002,434928.4899999968,2889098.139998162,2020-02-13,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
13,2020-02-14,178331,1.4095081617890328,1.9574260223965367,10.250487296095464,2.414601443383381,16.245742860175067,251359.0,349069.7399999968,1827979.6500000001,430598.29000000167,2897119.5699978797,2020-02-14,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
14,2020-02-15,133641,1.4995772255520388,2.046225634348743,9.935555181418875,2.3454720482485687,15.636564901500321,200405.0,273459.64000000036,1327797.53,313451.22999998694,2089686.1700014044,2020-02-15,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
15,2020-02-16,106046,1.5012636025875563,2.1650147105972777,9.87004686645418,2.332957490145653,15.5695035173509,159203.0,229591.14999999892,1046678.99,247400.8099999859,1651083.5700009936,2020-02-16,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
16,2020-02-17,93679,1.4264776524087575,2.140772851973224,9.57926312193768,2.3018158818944534,15.25499941289673,133631.0,200545.45999999967,897375.7899999999,215631.80999999048,1429073.0900007528,2020-02-17,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
17,2020-02-18,129325,1.369588246665378,2.0547303305625473,10.122004871447903,2.440782138024326,16.158836110583934,177122.0,265728.00000000146,1309028.28,315654.149999996,2089741.480001267,2020-02-18,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
18,2020-02-19,150380,1.3747439819124883,2.050342731746303,10.20024384891608,2.4709579731347104,16.28046635190543,206734.0,308330.54000000906,1533912.67,371582.65999999776,2448256.529999539,2020-02-19,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
19,2020-02-20,166350,1.3849594229035167,2.021589900811597,10.334816471295461,2.4835817853922357,16.424174210992923,230388.0,336291.4800000092,1719196.72,413143.82999999844,2732161.3799986728,2020-02-20,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
20,2020-02-21,164646,1.4046681972231332,1.9845627588887784,10.216105158947077,2.435266389708783,16.24334584501753,231273.0,326750.3200000018,1682040.8500000003,400956.86999999225,2674401.919998756,2020-02-21,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
21,2020-02-22,143950,1.490580062521709,2.088460090309125,10.038021465786729,2.3530616186174313,15.759245293505474,214569.0,300633.82999999856,1444973.1899999997,338723.21999997925,2268543.360000113,2020-02-22,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
